"Time";"node_cpu_frequency_hertz{cpu=""0"",instance=""172.26.119.19:9100"",job=""node""}";"node_cpu_frequency_hertz{cpu=""1"",instance=""172.26.119.19:9100"",job=""node""}";"node_cpu_frequency_hertz{cpu=""2"",instance=""172.26.119.19:9100"",job=""node""}";"node_cpu_frequency_hertz{cpu=""3"",instance=""172.26.119.19:9100"",job=""node""}"
"2019-06-13T13:11:30+08:00";502185000;513720000;552172000;581652000
"2019-06-13T13:11:45+08:00";583831000;580883000;599981000;570629000
"2019-06-13T13:12:00+08:00";719824000;591265000;642279000;527947000
"2019-06-13T13:12:15+08:00";530126000;511926000;508465000;499877000
"2019-06-13T13:12:30+08:00";688934000;620617000;589855000;690856000
"2019-06-13T13:12:45+08:00";537432000;500006000;599981000;731359000
"2019-06-13T13:13:00+08:00";540893000;525512000;499877000;541149000
"2019-06-13T13:13:15+08:00";599981000;592291000;606774000;599981000
"2019-06-13T13:13:30+08:00";499877000;553710000;499877000;500006000
"2019-06-13T13:13:45+08:00";599981000;632281000;747766000;561145000
"2019-06-13T13:14:00+08:00";599981000;599981000;872991000;795959000
"2019-06-13T13:14:15+08:00";533715000;548840000;658044000;500006000
"2019-06-13T13:14:30+08:00";510260000;591522000;499877000;500390000
"2019-06-13T13:14:45+08:00";599981000;524743000;599981000;538330000
"2019-06-13T13:15:00+08:00";503723000;513592000;553839000;577166000
"2019-06-13T13:15:15+08:00";599853000;567297000;583831000;524102000
"2019-06-13T13:15:30+08:00";645483000;513592000;506286000;569476000
"2019-06-13T13:15:45+08:00";506671000;500006000;516540000;907727000
"2019-06-13T13:16:00+08:00";499877000;500006000;499877000;514874000
"2019-06-13T13:16:15+08:00";681884000;558966000;618566000;551788000
"2019-06-13T13:16:30+08:00";502697000;500006000;499877000;500006000
"2019-06-13T13:16:45+08:00";500006000;538586000;524359000;546789000
"2019-06-13T13:17:00+08:00";499877000;549993000;499877000;566015000
"2019-06-13T13:17:15+08:00";595495000;580755000;715081000;551147000
"2019-06-13T13:17:30+08:00";590368000;575628000;562298000;537048000
"2019-06-13T13:17:45+08:00";593316000;619207000;597161000;528588000
"2019-06-13T13:18:00+08:00";601263000;539483000;577551000;537689000
"2019-06-13T13:18:15+08:00";526794000;511798000;575500000;574859000
"2019-06-13T13:18:30+08:00";588702000;574346000;523333000;500006000
